"country" "code" "date" "c1_school" "c1_general" "c2_workplace" "c2_general" "c3_events" "c3_general" "c4_gatherings" "c4_general" "c5_transport" "c5_general" "c6_homestaying" "c6_general" "c7_internal_mov" "c7_general" "c8_international_mov" "e1_incomesupport" "e1_general" "e2_debtrelief" "e3_fiscal" "e4_intrsupport" "h1_publicinfo" "h1_general" "h2_testing" "h3_tracing" "h4_healthcare_support" "h5_vaccines" "widlcard" "cases" "deaths" "stringency" "str_display" "legacy_stringency" "legacy_str_display" "restricts" "care"
"105" "Luxembourg" "LUX" 2020-01-05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 0 0 0 0 0 0 0 0
"106" "Netherlands" "NLD" 2020-01-05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 0 0 0 0 0 0 0 0
"107" "Poland" "POL" 2020-01-05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA NA NA 0 0 0 0 0 0
"108" "Portugal" "PRT" 2020-01-05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA NA NA 0 0 0 0 0 0
"109" "Romania" "ROU" 2020-01-05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 0 0 0 0 0 0 0 0
"110" "Slovenia" "SVN" 2020-01-05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA NA NA 0 0 0 0 0 0
"111" "Austria" "AUT" 2020-01-06 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 NA 0 0 0 0 0 0 0 0.0666666666666667
"112" "Belgium" "BEL" 2020-01-06 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 0 0 0 0 0 0 0 0
"113" "Bulgaria" "BGR" 2020-01-06 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA NA NA 0 0 0 0 0 0
"114" "Switzerland" "CHE" 2020-01-06 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 0 0 0 0 0 0 0 0
"115" "Cyprus" "CYP" 2020-01-06 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA NA NA 0 0 0 0 0 0
"116" "Czech Republic" "CZE" 2020-01-06 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 0 0 0 0 0 0 0 0
"117" "Germany" "DEU" 2020-01-06 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 0 0 0 0 0 0 0 0
"118" "Denmark" "DNK" 2020-01-06 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 0 0 0 0 0 0 0 0
"119" "Spain" "ESP" 2020-01-06 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 0 0 0 0 0 0 0 0
"120" "Estonia" "EST" 2020-01-06 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 0 0 0 0 0 0 0 0
"121" "Finland" "FIN" 2020-01-06 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 0 0 0 0 0 0 0 0
"122" "France" "FRA" 2020-01-06 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 0 0 0 0 0 0 0 0
"123" "Greece" "GRC" 2020-01-06 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 0 0 0 0 0 0 0 0
